CS_data,CS_data_SE,R_data,R_data_RE,species,abundance
0.06,0.06,0.24,0.15,Steentjie,1
0.51,0.24,0.85,0.12,Steentjie,5
0.97,0.05,1,0.01,Steentjie,10
1,0,1,0,Steentjie,20
0.09,0.1,0.44,0.39,Fransmadam,1
0.98,0.07,1,0.01,Fransmadam,5
1,0,1,0,Fransmadam,10
1,0,1,0,Fransmadam,20
0.19,0.08,0.39,0.12,Redfingers,1
0.78,0.12,0.91,0.06,Redfingers,5
0.99,0.01,1,0.01,Redfingers,10
1,0,1,0,Redfingers,20
0.06,0.08,0.72,0.25,Blue hottentot,1
0.3,0.24,0.95,0.06,Blue hottentot,5
0.84,0.26,1,0.01,Blue hottentot,10
1,0.01,1,0,Blue hottentot,20
